OBJECTID,COUNTYL,PASER
4828,125,3
3463,125,3
1595,125,5
3108,125,3
3470,125,3
1721,125,10
1498,125,10
3541,125,4
3301,125,3
3662,125,5
3084,125,3
1670,125,8
3177,125,6
3526,125,3
1639,125,2
3434,125,6
1737,125,4
1535,125,2
3295,125,4
3610,125,3
3390,125,6
3046,125,5
4833,125,3
3153,125,7
3483,125,5
1618,125,10
3399,125,3
3161,125,5
1722,125,10
1496,125,10
3596,125,3
3345,125,3
3038,125,7
1580,125,8
3110,125,4
3450,125,4
1674,125,8
3553,125,4
3311,125,3
1768,125,10
3637,125,6
3087,125,3
4844,125,3
3196,125,3
3506,125,4
3394,125,6
1739,125,5
1512,125,4
3628,125,5
3386,125,4
3064,125,4
3657,125,4
3082,125,3
3187,125,7
3527,125,7
3433,125,5
1756,125,3
1526,125,4
3608,125,7
3387,125,5
3050,125,5
4816,125,2
3155,125,7
3479,125,3
1627,125,2
3400,125,3
3145,125,7
3571,125,4
3335,125,3
3032,125,7
1584,125,10
3111,125,4
3455,125,4
1682,125,10
3545,125,7
3304,125,4
1767,125,10
1541,125,2
1465,125,2
3622,125,4
3363,125,3
4832,125,3
3183,125,5
3535,125,3
3404,125,3
1509,125,4
3570,125,4
3332,125,3
3061,125,6
3476,125,3
3119,125,4
3566,125,6
3322,125,9
3034,125,7
1571,125,8
3651,125,4
3078,125,3
3491,125,4
1614,125,3
3112,125,3
1724,125,10
3583,125,5
3338,125,3
3649,125,4
3102,125,3
3543,125,5
3302,125,3
3774,125,5
1538,125,2
1472,125,2
3287,125,7
3605,125,5
3365,125,3
3180,125,6
3533,125,7
1753,125,3
1516,125,4
3588,125,3
3351,125,3
3053,125,6
3448,125,2
1590,125,2
3109,125,3
3467,125,4
1699,125,7
1502,125,10
3201,125,3
3552,125,4
3318,125,3
1540,125,2
3633,125,3
3081,125,4
3189,125,3
3520,125,3
3440,125,5
1741,125,5
1536,125,2
3630,125,3
3392,125,6
3069,125,4
3144,125,5
3484,125,3
1629,125,2
3179,125,3
3519,125,4
1467,125,2
3614,125,2
3369,125,3
3167,125,6
3501,125,4
1633,125,2
3413,125,3
1743,125,5
1517,125,4
3581,125,2
3330,125,3
3065,125,5
4827,125,3
3456,125,3
1596,125,5
3135,125,3
3469,125,3
1728,125,10
1503,125,10
3548,125,6
3298,125,3
3641,125,4
3095,125,5
3174,125,3
3525,125,3
3005,125,4
3427,125,3
1730,125,10
1532,125,3
3282,125,7
3625,125,6
3362,125,3
3059,125,3
3139,125,5
3489,125,3
1613,125,3
3405,125,3
3159,125,4
1715,125,10
3591,125,5
3361,125,3
1592,125,2
3107,125,3
3451,125,5
3136,125,3
1723,125,10
1475,125,3
3573,125,5
3343,125,3
3444,125,3
1570,125,8
3121,125,4
3453,125,8
1676,125,8
3204,125,3
3564,125,7
3300,125,4
1766,125,10
3639,125,4
3075,125,3
4838,125,3
3198,125,2
3516,125,5
3438,125,6
1749,125,5
1524,125,4
3601,125,4
3377,125,2
3048,125,4
3154,125,6
3480,125,3
1612,125,3
3118,125,2
1717,125,10
3782,125,5
3577,125,4
3354,125,2
1582,125,8
3659,125,4
3089,125,3
3550,125,2
3313,125,3
3773,125,3
1546,125,3
3285,125,6
3629,125,5
3379,125,3
4834,125,3
3192,125,3
3512,125,4
3398,125,6
3557,125,3
3324,125,9
3655,125,5
3083,125,3
4842,125,3
3190,125,3
3508,125,6
1641,125,2
1742,125,4
1510,125,4
3631,125,5
3370,125,3
3066,125,5
3487,125,3
1610,125,3
3113,125,3
1720,125,10
3594,125,4
3359,125,3
3647,125,4
3094,125,3
3173,125,4
3514,125,4
3771,125,3
1470,125,2
3607,125,7
3373,125,3
3151,125,6
3503,125,5
1607,125,2
1732,125,10
1507,125,10
3597,125,3
3350,125,3
3041,125,6
3441,125,3
1578,125,8
3133,125,3
3471,125,2
1729,125,10
3789,125,5
1504,125,10
3568,125,4
3315,125,3
1751,125,4
1522,125,5
3599,125,5
3356,125,3
3047,125,5
4831,125,3
3500,125,4
1623,125,10
3120,125,4
1719,125,10
1497,125,10
3558,125,4
3321,125,9
1593,125,2
3640,125,4
3090,125,3
3171,125,4
3531,125,7
3436,125,4
3761,125,6
3284,125,7
3604,125,8
3382,125,5
4841,125,3
3165,125,5
3499,125,4
1626,125,10
3701,125,3
3572,125,3
3331,125,3
3071,125,3
4825,125,3
3449,125,3
1589,125,5
3132,125,4
3465,125,3
3556,125,5
3329,125,3
1568,125,8
3658,125,5
3093,125,3
3191,125,5
3510,125,3
1637,125,2
3437,125,4
1761,125,10
1544,125,4
3634,125,5
3072,125,2
3182,125,7
3528,125,7
3432,125,5
1750,125,5
1511,125,4
3619,125,5
3391,125,5
3067,125,4
3156,125,5
3494,125,4
3408,125,5
3141,125,5
1726,125,10
1500,125,10
3569,125,6
3349,125,3
3039,125,7
3459,125,5
1583,125,8
3114,125,3
3447,125,5
1681,125,10
3562,125,4
3326,125,3
1543,125,2
3645,125,6
3074,125,3
3168,125,7
3511,125,6
1640,125,2
3396,125,8
1740,125,7
1518,125,4
3606,125,5
3364,125,3
3042,125,6
3492,125,4
1619,125,10
3105,125,3
3702,125,4
1725,125,10
3579,125,3
3346,125,3
3289,125,5
3618,125,3
3388,125,4
3049,125,4
3152,125,5
3473,125,3
1628,125,2
3403,125,3
3149,125,8
3576,125,5
3341,125,7
1585,125,7
3122,125,4
3445,125,5
1672,125,8
3203,125,3
3539,125,7
3323,125,9
3762,125,5
1466,125,2
3296,125,3
3663,125,3
3085,125,3
4840,125,3
3194,125,3
3536,125,7
1758,125,3
1523,125,5
3590,125,5
3358,125,3
3055,125,6
3482,125,4
1609,125,2
3126,125,3
3700,125,3
3538,125,4
3316,125,3
1591,125,2
3642,125,5
3100,125,5
3175,125,3
3523,125,4
3768,125,4
1464,125,2
3616,125,5
3366,125,3
1576,125,8
3653,125,5
3103,125,3
3555,125,5
3309,125,3
3775,125,5
1764,125,10
1473,125,2
3612,125,3
3374,125,3
3181,125,6
3532,125,7
1638,125,2
1745,125,6
1508,125,4
3598,125,5
3352,125,3
3051,125,7
4829,125,4
3490,125,4
3127,125,3
3783,125,5
1505,125,10
3537,125,4
3320,125,3
3635,125,5
3097,125,4
1675,125,8
3188,125,4
3530,125,7
3428,125,3
1747,125,4
1525,125,4
3602,125,5
3393,125,5
3070,125,4
4836,125,2
3158,125,5
3493,125,4
1631,125,2
3415,125,3
3138,125,5
3584,125,5
3337,125,3
4824,125,3
3458,125,3
1587,125,7
3146,125,5
3502,125,5
1617,125,10
3414,125,5
1754,125,3
1514,125,4
3589,125,3
3339,125,3
3044,125,5
3460,125,3
1573,125,8
3134,125,3
3443,125,3
3544,125,7
3303,125,4
3660,125,3
3096,125,5
1680,125,10
3176,125,5
3507,125,5
3431,125,3
1736,125,5
1534,125,3
3294,125,5
3626,125,3
3380,125,3
3063,125,7
3162,125,5
3474,125,3
1608,125,2
3407,125,6
3160,125,5
1716,125,10
1499,125,10
3592,125,3
3340,125,3
3033,125,7
1572,125,8
3117,125,6
3462,125,5
1673,125,8
3560,125,4
3308,125,8
3652,125,5
3076,125,3
3130,125,3
3461,125,5
3561,125,4
3325,125,3
1763,125,10
3656,125,4
3080,125,4
1635,125,2
3199,125,3
3522,125,3
3430,125,3
1515,125,4
3603,125,2
3383,125,5
3043,125,6
3150,125,6
3498,125,5
1625,125,10
3401,125,3
3137,125,5
3582,125,2
3360,125,3
1574,125,8
3661,125,5
3099,125,5
1677,125,8
3551,125,6
3307,125,3
3772,125,5
1462,125,5
3292,125,3
3624,125,6
3367,125,3
4837,125,3
3193,125,3
3534,125,3
3395,125,5
1757,125,3
1513,125,4
3600,125,3
3357,125,3
3057,125,6
3481,125,3
1624,125,10
3124,125,2
3195,125,2
1642,125,2
3409,125,5
1760,125,3
1531,125,3
3293,125,5
3615,125,4
3385,125,4
3045,125,5
3496,125,3
1611,125,3
3128,125,3
1714,125,10
3595,125,5
3334,125,3
1599,125,5
3636,125,6
3101,125,6
3559,125,5
3312,125,3
3770,125,3
1765,125,10
1463,125,2
3620,125,5
3378,125,3
3143,125,7
3504,125,4
1735,125,6
1519,125,3
3575,125,3
3344,125,3
3056,125,6
3446,125,3
1575,125,8
3104,125,3
3472,125,2
3547,125,6
3306,125,5
1539,125,2
3664,125,6
3091,125,3
1678,125,8
3184,125,4
3529,125,7
1634,125,2
3540,125,3
3310,125,3
1597,125,5
3644,125,6
3092,125,3
3172,125,5
3505,125,5
3429,125,6
1542,125,2
1471,125,2
3288,125,4
3613,125,3
3372,125,3
3166,125,5
3475,125,3
1632,125,2
3406,125,6
1752,125,3
1537,125,2
3587,125,3
3348,125,3
3060,125,5
4826,125,3
3454,125,2
1594,125,5
3125,125,3
3466,125,9
1679,125,8
3200,125,7
3567,125,4
3317,125,3
3037,125,7
1569,125,8
3648,125,3
3088,125,3
1643,125,2
3170,125,6
3521,125,3
1636,125,2
3439,125,4
3759,125,7
1734,125,5
1533,125,3
3290,125,4
3623,125,6
3389,125,5
3058,125,3
4815,125,2
3157,125,5
3488,125,3
1630,125,2
3402,125,3
3148,125,7
3784,125,1
3435,125,6
3760,125,5
1738,125,9
1521,125,5
3627,125,4
3376,125,2
3068,125,4
4843,125,3
3142,125,5
3497,125,4
1606,125,3
3411,125,7
3163,125,3
1727,125,10
3790,125,5
1501,125,10
3578,125,4
3355,125,2
4814,125,2
3468,125,3
1579,125,8
3129,125,3
3452,125,3
1671,125,8
3563,125,3
3327,125,3
3646,125,4
3073,125,3
3197,125,5
3513,125,6
3397,125,4
1746,125,5
1506,125,10
3286,125,7
3609,125,5
3375,125,2
3040,125,5
4817,125,2
3140,125,6
3495,125,3
3115,125,2
3574,125,5
3347,125,3
1581,125,8
3654,125,5
3077,125,4
3549,125,6
3319,125,3
3586,125,3
3342,125,3
3035,125,7
1586,125,3
3106,125,3
3457,125,2
1669,125,8
3542,125,5
3299,125,5
3763,125,6
1468,125,2
3297,125,3
3650,125,3
3079,125,4
4845,125,4
3185,125,7
3509,125,4
1759,125,8
1530,125,2
3283,125,6
3632,125,5
3384,125,4
3062,125,6
3486,125,3
1622,125,10
3116,125,6
3202,125,3
3546,125,7
3305,125,4
1598,125,5
3638,125,4
3086,125,3
3178,125,7
3515,125,4
3769,125,4
1469,125,2
3617,125,3
3371,125,3
4835,125,3
3147,125,6
3478,125,2
1605,125,2
1755,125,3
1520,125,5
3593,125,3
3333,125,3
3054,125,6
3764,125,6
1762,125,8
1545,125,2
1461,125,6
3291,125,6
3621,125,3
3381,125,3
3186,125,7
3410,125,6
1731,125,10
1528,125,5
3580,125,4
3353,125,3
3052,125,6
4830,125,3
3485,125,7
1621,125,10
3123,125,3
1474,125,3
3554,125,3
3314,125,3
1577,125,8
3643,125,4
3098,125,5
3169,125,7
3524,125,4
3426,125,3
1748,125,5
1529,125,5
3611,125,3
3368,125,3
4839,125,3
3164,125,4
3477,125,3
1620,125,10
3416,125,6
1718,125,10
3585,125,3
3336,125,3
3036,125,7
3442,125,3
1588,125,5
3131,125,3
3464,125,3
3565,125,7
3328,125,3
6726,125,5
7125,125,6
9703,125,3
6790,125,8
6702,125,7
6683,125,2
9422,125,5
6772,125,3
9421,125,5
6722,125,5
9596,125,5
6713,125,5
6805,125,3
6682,125,2
6756,125,5
6679,125,8
6672,125,2
7081,125,7
6780,125,4
7053,125,5
6752,125,4
7112,125,7
6827,125,3
6705,125,2
7092,125,2
6815,125,3
8555,125,3
6768,125,4
9693,125,2
7046,125,6
6729,125,3
7114,125,5
6826,125,3
7047,125,6
6746,125,4
7116,125,7
8496,125,3
6818,125,3
6711,125,5
7094,125,6
6799,125,8
6676,125,10
7085,125,7
6753,125,4
9694,125,3
7044,125,6
6736,125,3
7113,125,7
8494,125,3
6800,125,8
6710,125,5
9690,125,7
6688,125,3
6764,125,4
6716,125,7
7097,125,6
6795,125,8
7082,125,7
6754,125,4
9696,125,4
6741,125,2
7106,125,6
8495,125,3
6801,125,3
6684,125,2
6784,125,4
6832,125,7
9597,125,4
6742,125,4
7115,125,7
6707,125,2
7041,125,6
6739,125,3
7122,125,7
9702,125,4
6689,125,3
6809,125,9
6677,125,10
7075,125,4
6765,125,4
9700,125,5
7052,125,4
6750,125,4
9792,125,4
7104,125,6
6824,125,3
6703,125,6
7089,125,6
6813,125,4
6803,125,3
8550,125,3
6675,125,10
7077,125,4
6774,125,3
6748,125,4
7108,125,6
6828,125,3
6719,125,7
7091,125,6
6787,125,8
7076,125,4
6779,125,4
9704,125,4
7040,125,6
6737,125,3
9793,125,5
7121,125,7
6766,125,4
6744,125,3
6817,125,3
6697,125,7
7098,125,6
6792,125,8
8553,125,3
6727,125,5
7124,125,6
9698,125,5
6695,125,6
6794,125,8
6686,125,2
6667,125,10
6782,125,4
6796,125,8
6704,125,2
7080,125,7
6770,125,3
9495,125,3
7048,125,4
6730,125,3
7118,125,7
6699,125,6
6808,125,9
8551,125,3
6678,125,8
7087,125,2
6758,125,6
7049,125,4
6725,125,5
7103,125,6
7054,125,5
6721,125,7
7120,125,7
6831,125,2
6691,125,10
7096,125,6
6816,125,3
8556,125,2
6777,125,4
6731,125,3
6821,125,3
6717,125,7
7100,125,6
6788,125,8
6829,125,3
6701,125,7
7099,125,6
6806,125,4
6674,125,10
7086,125,7
6759,125,5
9500,125,5
9695,125,4
7045,125,6
6738,125,3
